order_id,item_id,product_id,quantity,list_price,discount,total_price
1,1,20,1,599.99,0.2,599.99
1,2,8,2,1799.99,0.07,3599.98
1,3,10,2,1549.0,0.05,3098.0
1,4,16,2,599.99,0.05,1199.98
1,5,4,1,2899.99,0.2,2899.99
2,1,20,1,599.99,0.07,599.99
2,2,16,2,599.99,0.05,1199.98
3,1,3,1,999.99,0.05,999.99
3,2,20,1,599.99,0.05,599.99
4,1,2,2,749.99,0.1,1499.98
5,1,10,2,1549.0,0.05,3098.0
5,2,17,1,429.0,0.07,429.0
5,3,26,1,599.99,0.07,599.99
6,1,18,1,449.0,0.07,449.0
6,2,12,2,549.99,0.05,1099.98
6,3,20,1,599.99,0.1,599.99
6,4,3,2,999.99,0.07,1999.98
6,5,9,2,2999.99,0.07,5999.98
7,1,15,1,529.99,0.07,529.99
7,2,3,1,999.99,0.1,999.99
7,3,17,2,429.0,0.1,858.0
8,1,22,1,269.99,0.05,269.99
8,2,20,2,599.99,0.07,1199.98
9,1,7,2,3999.99,0.1,7999.98
10,1,14,1,269.99,0.1,269.99
11,1,8,1,1799.99,0.05,1799.99
11,2,22,2,269.99,0.1,539.98
11,3,16,2,599.99,0.2,1199.98
12,1,4,2,2899.99,0.1,5799.98
12,2,11,1,1680.99,0.05,1680.99
13,1,13,1,269.99,0.1,269.99
13,2,17,2,429.0,0.05,858.0
13,3,20,2,599.99,0.1,1199.98
13,4,16,2,599.99,0.05,1199.98
14,1,6,1,469.99,0.07,469.99
15,1,12,2,549.99,0.07,1099.98
15,2,8,1,1799.99,0.07,1799.99
15,3,18,2,449.0,0.05,898.0
15,4,23,2,299.99,0.2,599.98
16,1,8,1,1799.99,0.2,1799.99
16,2,21,1,269.99,0.05,269.99
16,3,13,2,269.99,0.07,539.98
16,4,14,1,269.99,0.07,269.99
17,1,8,1,1799.99,0.07,1799.99
17,2,23,1,299.99,0.1,299.99
17,3,5,1,1320.99,0.1,1320.99
17,4,20,2,599.99,0.2,1199.98
18,1,2,2,749.99,0.2,1499.98
18,2,22,1,269.99,0.05,269.99
18,3,7,1,3999.99,0.1,3999.99
18,4,25,2,499.99,0.05,999.98
18,5,9,2,2999.99,0.1,5999.98
19,1,10,1,1549.0,0.07,1549.0
19,2,9,2,2999.99,0.2,5999.98
20,1,9,1,2999.99,0.07,2999.99
20,2,10,2,1549.0,0.07,3098.0
21,1,14,1,269.99,0.05,269.99
21,2,17,1,429.0,0.1,429.0
21,3,10,1,1549.0,0.07,1549.0
22,1,15,2,529.99,0.2,1059.98
22,2,22,1,269.99,0.05,269.99
23,1,4,2,2899.99,0.05,5799.98
23,2,23,2,299.99,0.1,599.98
23,3,13,1,269.99,0.2,269.99
24,1,3,2,999.99,0.1,1999.98
24,2,18,2,449.0,0.07,898.0
25,1,23,2,299.99,0.2,599.98
25,2,10,2,1549.0,0.2,3098.0
25,3,22,1,269.99,0.2,269.99
25,4,14,1,269.99,0.2,269.99
25,5,21,1,269.99,0.1,269.99
26,1,7,1,3999.99,0.05,3999.99
26,2,2,1,749.99,0.2,749.99
26,3,12,1,549.99,0.2,549.99
26,4,21,2,269.99,0.07,539.98
27,1,5,1,1320.99,0.2,1320.99
27,2,19,1,449.0,0.2,449.0
27,3,26,2,599.99,0.07,1199.98
27,4,8,1,1799.99,0.07,1799.99
28,1,5,1,1320.99,0.05,1320.99
28,2,7,2,3999.99,0.2,7999.98
28,3,14,2,269.99,0.1,539.98
28,4,6,1,469.99,0.05,469.99
29,1,24,2,549.99,0.05,1099.98
29,2,6,1,469.99,0.2,469.99
29,3,21,2,269.99,0.1,539.98
29,4,8,1,1799.99,0.2,1799.99
29,5,14,2,269.99,0.05,539.98
30,1,26,1,599.99,0.05,599.99
30,2,17,1,429.0,0.07,429.0
30,3,19,1,449.0,0.1,449.0
30,4,4,1,2899.99,0.1,2899.99
30,5,7,2,3999.99,0.1,7999.98
31,1,11,2,1680.99,0.05,3361.98
31,2,9,2,2999.99,0.2,5999.98
32,1,8,2,1799.99,0.07,3599.98
32,2,12,2,549.99,0.07,1099.98
32,3,25,2,499.99,0.1,999.98
33,1,23,2,299.99,0.07,599.98
33,2,7,1,3999.99,0.1,3999.99
34,1,8,2,1799.99,0.07,3599.98
34,2,10,2,1549.0,0.1,3098.0
34,3,17,2,429.0,0.2,858.0
